=== viewer launch 1 at 23:27:21
waiting for frames on 1209:5f1e ep 0x81...

stream: 1280x720 H.264

5190 frames  58.7 fps  25 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.7 ms   
5220 frames  58.7 fps  25 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.7 ms   
5250 frames  58.7 fps  25 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.7 ms   
5280 frames  58.7 fps  25 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.7 ms   
5310 frames  58.7 fps  25 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.7 ms   
5340 frames  58.7 fps  25 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.7 ms   
5370 frames  58.7 fps  26 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.7 ms   
5400 frames  58.7 fps  26 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.7 ms   
5430 frames  58.7 fps  26 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.7 ms   
5460 frames  58.7 fps  26 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.7 ms   
5490 frames  58.8 fps  26 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.7 ms   
5520 frames  58.8 fps  25 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.7 ms   
5550 frames  58.8 fps  25 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.7 ms   
5580 frames  58.8 fps  25 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.7 ms   
5610 frames  58.8 fps  26 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.7 ms   
5640 frames  58.8 fps  26 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.7 ms   
5670 frames  58.8 fps  26 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.7 ms   
5700 frames  58.8 fps  26 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.7 ms   
5730 frames  58.8 fps  26 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.7 ms   
5760 frames  58.8 fps  26 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.7 ms   
5790 frames  58.8 fps  26 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.7 ms   
5820 frames  58.8 fps  26 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.7 ms   
5850 frames  58.8 fps  26 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.7 ms   
5880 frames  58.8 fps  26 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.6 ms   
5910 frames  58.8 fps  26 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.6 ms   
5940 frames  58.8 fps  26 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.6 ms   
5970 frames  58.9 fps  27 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.6 ms   
6000 frames  58.9 fps  26 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.6 ms   
6030 frames  58.9 fps  26 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 9.6 ms   
6060 frames  58.6 fps  26 Mbps  worst gap 246.4 ms  0 lost  pc 19.3 ms  console 11.2 ms   
new stream session 2 (the console reattached)

6090 frames  51.0 fps  23 Mbps  worst gap 15398.9 ms  0 lost  pc 19.4 ms  console 13.4 ms   
6120 frames  51.0 fps  23 Mbps  worst gap 15398.9 ms  0 lost  pc 19.4 ms  console 13.4 ms   
6150 frames  51.1 fps  23 Mbps  worst gap 15398.9 ms  0 lost  pc 19.3 ms  console 13.4 ms   
6180 frames  51.1 fps  23 Mbps  worst gap 15398.9 ms  0 lost  pc 19.3 ms  console 13.4 ms   
6210 frames  51.1 fps  22 Mbps  worst gap 15398.9 ms  0 lost  pc 19.3 ms  console 13.4 ms   
6240 frames  51.2 fps  22 Mbps  worst gap 15398.9 ms  0 lost  pc 19.3 ms  console 13.5 ms   
6270 frames  51.2 fps  22 Mbps  worst gap 15398.9 ms  0 lost  pc 19.3 ms  console 13.5 ms   
6300 frames  51.2 fps  22 Mbps  worst gap 15398.9 ms  0 lost  pc 19.3 ms  console 13.5 ms   
6330 frames  51.2 fps  22 Mbps  worst gap 15398.9 ms  0 lost  pc 19.3 ms  console 13.6 ms   
6360 frames  51.2 fps  22 Mbps  worst gap 15398.9 ms  0 lost  pc 19.3 ms  console 13.6 ms   
6390 frames  51.2 fps  22 Mbps  worst gap 15398.9 ms  0 lost  pc 19.3 ms  console 13.6 ms   
6420 frames  51.3 fps  22 Mbps  worst gap 15398.9 ms  0 lost  pc 19.3 ms  console 13.6 ms   
6450 frames  51.3 fps  22 Mbps  worst gap 15398.9 ms  0 lost  pc 19.3 ms  console 13.7 ms   
6480 frames  51.3 fps  22 Mbps  worst gap 15398.9 ms  0 lost  pc 19.3 ms  console 13.7 ms   
6510 frames  51.4 fps  22 Mbps  worst gap 15398.9 ms  0 lost  pc 19.3 ms  console 13.7 ms   
6540 frames  51.4 fps  22 Mbps  worst gap 15398.9 ms  0 lost  pc 19.3 ms  console 13.7 ms   
6570 frames  51.4 fps  22 Mbps  worst gap 15398.9 ms  0 lost  pc 19.3 ms  console 13.8 ms   
6600 frames  51.5 fps  21 Mbps  worst gap 15398.9 ms  0 lost  pc 19.3 ms  console 13.8 ms   
6630 frames  51.5 fps  21 Mbps  worst gap 15398.9 ms  0 lost  pc 19.3 ms  console 13.8 ms   
6660 frames  51.5 fps  21 Mbps  worst gap 15398.9 ms  0 lost  pc 19.3 ms  console 13.8 ms   
6690 frames  51.6 fps  21 Mbps  worst gap 15398.9 ms  0 lost  pc 19.3 ms  console 13.8 ms   
6720 frames  51.6 fps  21 Mbps  worst gap 15398.9 ms  0 lost  pc 19.3 ms  console 13.9 ms   
6750 frames  51.6 fps  21 Mbps  worst gap 15398.9 ms  0 lost  pc 19.2 ms  console 13.9 ms   
6780 frames  51.6 fps  21 Mbps  worst gap 15398.9 ms  0 lost  pc 19.2 ms  console 13.9 ms   
6810 frames  51.6 fps  21 Mbps  worst gap 15398.9 ms  0 lost  pc 19.2 ms  console 13.9 ms   
6840 frames  51.7 fps  21 Mbps  worst gap 15398.9 ms  0 lost  pc 19.2 ms  console 14.0 ms   
6870 frames  51.7 fps  21 Mbps  worst gap 15398.9 ms  0 lost  pc 19.2 ms  console 14.0 ms   
6900 frames  51.7 fps  21 Mbps  worst gap 15398.9 ms  0 lost  pc 19.2 ms  console 14.0 ms   
6930 frames  51.6 fps  21 Mbps  worst gap 15398.9 ms  0 lost  pc 19.3 ms  console 14.0 ms   
6960 frames  51.6 fps  20 Mbps  worst gap 15398.9 ms  0 lost  pc 19.3 ms  console 14.0 ms   
6990 frames  51.6 fps  20 Mbps  worst gap 15398.9 ms  0 lost  pc 19.3 ms  console 14.1 ms   
7020 frames  51.6 fps  20 Mbps  worst gap 15398.9 ms  0 lost  pc 19.3 ms  console 14.1 ms   
7050 frames  51.6 fps  20 Mbps  worst gap 15398.9 ms  0 lost  pc 19.3 ms  console 14.1 ms   
7080 frames  51.6 fps  20 Mbps  worst gap 15398.9 ms  0 lost  pc 19.3 ms  console 14.1 ms   
7110 frames  51.5 fps  20 Mbps  worst gap 15398.9 ms  0 lost  pc 19.3 ms  console 14.1 ms   
7140 frames  51.4 fps  20 Mbps  worst gap 15398.9 ms  0 lost  pc 19.4 ms  console 14.1 ms   
7170 frames  51.3 fps  20 Mbps  worst gap 15398.9 ms  0 lost  pc 19.4 ms  console 14.1 ms   
